Tweet,Suicide,Tweet_pt
making some lunch,Not Suicide post,preparando o almoço
@Alexia You want his money.,Not Suicide post,Você quer seu dinheiro.
@dizzyhrvy that crap took me forever to put together. iâm going to go sleep for DAYS,Potential Suicide post ,@dizzyhrvy aquela merda levou-me uma eternidade para montar. vou dormir por dias
@jnaylor #kiwitweets Hey Jer! Since when did you start twittering?,Not Suicide post,@jnaylor #kiwitweets Ei Jer! Desde quando você começou a usar o Twitter?
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post,"Experimentando o ""Delicious Library 2"" com resultados mistos O código de barras pensou que eu queria adicionar uma meia esportiva em vez de um furadeira Aplicativo legal!"
"@ValenValdez Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",Not Suicide post,"@ValenValdez Ah, é bom saber isso. Mas já acabou ou você vai continuar depois da Semana Santa?"
@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not Suicide post,"@mcM180 você tem uma lista para os meus amigos #hotties? Você vai ter que compartilhar essa também, Amigo!"
"@jakepaul @jamescharles @LoganPaul Just because shane made a Series on you Doesnt mean people take you seriously, yâ¦ https://t.co/D5rA0nua0U",Potential Suicide post ,"@jakepaul @jamescharles @loganpaul Mesmo porque Shane fez uma série sobre vocês, isso não significa que as pessoas tomam vocês a sério..."
time for some warsaw beer garden chilling,Not Suicide post,tempo para um jardim de cerveja em vársovia relaxar
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post ,Eu odeio minha vida lmao Eu espero morrer logo ou algo assim Estou muito cansado de tudo
"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",Not Suicide post,"Tudo o que seu amante faz por você é para a sua sobrevivência, tudo o que sua mãe faz por você é para a sua sobrevivência."
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",Not Suicide post,"Há um gato vadio no campus que se parece com Garfield. Os alunos sempre o alimentam, então ele está muito gordo. Como eu."
is on the go...,Not Suicide post,está indo...
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny forâ¦ https://t.co/NpfZu06gwy,Potential Suicide post ,Tenho um hábito terrível de evitar escrever artigos assistindo a vídeos ao vivo do Instagram das crianças que costumava babá.
@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post,"@rivensky Ahah. Bem, tenho mais algumas, mas não preciso fazer nada além de arquivá-las ou apagá-las."
@Turbizzle Goooooood hwo're you?,Not Suicide post,"@Turbizzle Ahahahaha, estou bem! E você?"
"@AkwesiQuan,,RT @animeesay: I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone tâ¦",Potential Suicide post ,"@AkwesiQuan,,RT @animeesay: Quero dizer que nunca mais vou estar ativo novamente. Não estou muito certo, não tenho nenhum motivo para ficar aqui mais. Tchau a todos..."
Focus on opportunities more than you focus on money.,Not Suicide post,Concentre-se nas oportunidades mais do que no dinheiro.
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,Potential Suicide post ,ALGUÉM POR FAVOR MATA-ME EU ESTOU TÃO NO AMOR https://t.co/WbVmmKzDDh
Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,Potential Suicide post ,Estou no ponto do semestre em que estou tão cansado de tudo. Quero apenas rolhar e morrer.
"@sadegsi,ger/rus/eng,I want to die so much, I dont want to be here anymore",Potential Suicide post ,"""@sadegsi,ger/rus/eng,Desejo morrer tanto, não quero estar aqui mais"""
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ aâ¦ https://t.co/B4hM6MjQRe",Potential Suicide post ,"E eu odeio o fato de que, se for verdadeiro, Dojae fará uma cirurgia, Dojae terá que sofrer a dor sozinho :'( sem Segye ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ aâ¦ https://t.co/B4hM6MjQRe"
"RT @Soulwhisperer3: When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post ,"Quando você está cansado de viver sua vida, tudo que pode fazer é fechar os olhos e dormir..."
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post ,AJUSTE MANUAL
"@earlydetection enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",Not Suicide post,"@earlydetection eu não consigo me envolver nessa temporada, mas estou feliz em saber que você está se divertindo."
@JohnsHopkins Bloodstain on the carpet? Ready to gooo! http://short.to/3uqb,Not Suicide post,@JohnsHopkins Mancha de sangue no tapete? Pronto para ir! http://short.to/3uqb
Really fuckin want this portion of my life to be over.,Potential Suicide post ,"""Realmente quero que essa parte da minha vida acabe logo."""
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,Not Suicide post,"Estou MUITO MUITO faminto! Ninguém no meu feed pode falar sobre comida :@, ou eu vou comer você sério!"
